coin,wallet,side,size,entry_price,liquidation_price,distance_pct,unrealized_pnl,current_price,threshold_pct
BTC,0x2c4ebdcd592a74b4022ad9d1fb00ab6976abe483,LONG,56.0,89462.5,87023.5887633273,0.88,-89296.44066,87792.0,3.0
BTC,0xcb344ada86da1024e78b7e204ad1edfd0083a569,LONG,97.53417,87990.0,86883.1140136654,1.04,-11216.42955,87792.0,3.0
BTC,0xa2acb1c1d689fd3785696277537a504fcea8d1d0,LONG,40.3719,88308.1,86796.0813273025,1.13,-17488.029622,87792.0,3.0
BTC,0xa503a7b7d18308423e60b22c092f9934b85f61af,LONG,80.0,87929.0,86612.438350481,1.34,-4883.77427,87792.0,3.0
BTC,0xfa13486a970554c2b3afb3b51e83a5e2b80ad989,LONG,35.18652,89936.2,86569.3913064838,1.39,-72528.986151,87792.0,3.0
BTC,0xa6b54b15cc0d6d5238fc9c48bb834c61643ef033,LONG,70.00192,90791.6,86527.8401194377,1.44,-204658.604044,87792.0,3.0
BTC,0x4b89f77b9834cca1abbdd6dd5d9dcde16b2e47cc,SHORT,100.0,87894.7,89753.403057679,2.23,2677.41122,87792.0,3.0
BTC,0x92e9773ad2b4ba6e2e57e7fc1f9305aef80ab6c2,LONG,145.94019,90833.7,85606.984533089,2.49,-431805.03997,87792.0,3.0
BTC,0x6a572bb9d31ff710f882f33c21d8ba11a169a887,LONG,39.90784,88014.5,85588.9388735698,2.51,-5847.678035,87792.0,3.0
BTC,0xd6040a09a3403fe2a4474b50836d8f487140c675,LONG,28.78588,88682.3,85458.5147878672,2.66,-23443.091087,87792.0,3.0
ETH,0xfa13486a970554c2b3afb3b51e83a5e2b80ad989,LONG,1927.5564,2966.84,2862.9057661407,0.7,-154878.532515,2883.09,3.0
ETH,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,LONG,3750.0,2948.75,2858.3191401739,0.86,-236814.281656,2883.09,3.0
ETH,0x4a20b9496610941053858bd0b7e92493f44c3c26,LONG,2024.0,3342.91,2839.0878324206,1.53,-922577.76,2883.09,3.0
ETH,0x0926f77ea235314df97199f7d90848037b38a6da,LONG,1733.8327,2890.75,2837.1824186123,1.59,-6338.99,2883.09,3.0
SOL,0xfa13486a970554c2b3afb3b51e83a5e2b80ad989,LONG,20658.02,128.783,120.0282339884,1.75,-134752.642346,122.17,3.0
