rank,coin,wallet,side,size,entry_price,leverage,unrealized_pnl,liquidation_price
1,SOL,0xb317d2bc2d3d2df5fa441b5bae0ab9d8b07283ae,LONG,511612.85,130.1911,10,-1791224.8334,
2,ETH,0xb317d2bc2d3d2df5fa441b5bae0ab9d8b07283ae,LONG,223340.6489,3161.85,5,-50442907.52277,2267.9150672951
3,SOL,0x6b26f66f460fd173b009d0c7a478ca400470e03f,LONG,176100.16,138.3008,10,-2044672.023,103.8591939968
4,SOL,0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,SHORT,134253.62,132.4194,20,769204.0714,303.7909007051
5,SOL,0x06cecfbac34101ae41c88ebc2450f8602b3d164b,SHORT,88433.61,172.2649,20,4030361.23987,169.1115666698
6,SOL,0xd7d400ae546d07b414205d0b76b82de5b382283b,LONG,80000.58,136.947,20,-820569.91312,93.7623948359
7,SOL,0xd83516572789f1c782c8298efce58a5600318fd7,SHORT,78918.77,127.945,20,99044.302271,188.0169479088
8,SOL,0x02e4cc8575e3b493f04e924e2c775009b22f5955,LONG,75000.0,128.0051,20,-98637.2109,116.7790805225
9,SOL,0x6bea81d7a0c5939a5ce5552e125ab57216cc597f,SHORT,70422.67,159.7646,20,2329202.607735,158.4415954625
10,SOL,0x023a3d058020fb76cca98f01b3c48c8938a22355,LONG,62272.83,127.3715,20,-42440.979625,
